"row","column","cor","p"
"Area.um.2_Max","Area.um.2_Min",0.106835759538969,0.184360203669175
"Area.um.2_Max","Area.um.2_Mean",0.248862828151918,0.00173185714418533
"Area.um.2_Min","Area.um.2_Mean",0.595733112905872,2.22044604925031e-16
"Area.um.2_Max","Area.um.2_CoV",0.585892430971535,8.88178419700125e-16
"Area.um.2_Min","Area.um.2_CoV",-0.243500374184437,0.00219057149577528
"Area.um.2_Mean","Area.um.2_CoV",-0.102720045518484,0.201943918855721
"Area.um.2_Max","Length.um_Max",0.895629909437183,0
"Area.um.2_Min","Length.um_Max",0.0970540192616346,0.228086425145126
"Area.um.2_Mean","Length.um_Max",0.267089187779551,0.000750159596792921
"Area.um.2_CoV","Length.um_Max",0.550179387080969,1.01030295240889e-13
"Area.um.2_Max","Length.um_Min",0.154683820391649,0.0538447691953627
"Area.um.2_Min","Length.um_Min",0.835503497260852,0
"Area.um.2_Mean","Length.um_Min",0.615517377629562,0
"Area.um.2_CoV","Length.um_Min",-0.234312718306965,0.00323867181633064
"Length.um_Max","Length.um_Min",0.166265745760301,0.0380404605697784
"Area.um.2_Max","Length.um_Mean",0.229359422168134,0.00397478505889892
"Area.um.2_Min","Length.um_Mean",0.63662233615921,0
"Area.um.2_Mean","Length.um_Mean",0.989230453130186,0
"Area.um.2_CoV","Length.um_Mean",-0.148399740797522,0.0644786052864701
"Length.um_Max","Length.um_Mean",0.249744748779061,0.0016654065814663
"Length.um_Min","Length.um_Mean",0.653496862701712,0
"Area.um.2_Max","Length.um_CoV",0.463526734206825,1.10359477112354e-09
"Area.um.2_Min","Length.um_CoV",-0.228924964774585,0.0040460298573024
"Area.um.2_Mean","Length.um_CoV",0.00833557237913104,0.917744129045324
"Area.um.2_CoV","Length.um_CoV",0.928267294653159,0
"Length.um_Max","Length.um_CoV",0.465312702501936,9.34328614476954e-10
"Length.um_Min","Length.um_CoV",-0.247696416999889,0.00182345090400537
"Length.um_Mean","Length.um_CoV",-0.0448704777860315,0.578070680079623
"Area.um.2_Max","Circularity_Max",0.113074012283576,0.159888325703895
"Area.um.2_Min","Circularity_Max",0.0919696340003679,0.253502320193271
"Area.um.2_Mean","Circularity_Max",0.4780814198944,2.76195954995728e-10
"Area.um.2_CoV","Circularity_Max",0.0242471961693555,0.763829422103803
"Length.um_Max","Circularity_Max",0.0929655017036958,0.248376402836885
"Length.um_Min","Circularity_Max",0.161334437675288,0.0442135018326666
"Length.um_Mean","Circularity_Max",0.421752296546736,4.17437857613834e-08
"Length.um_CoV","Circularity_Max",0.0963216627069258,0.231632156438284
"Area.um.2_Max","Circularity_Min",-0.131316603644889,0.102251109725698
"Area.um.2_Min","Circularity_Min",-0.113559672961353,0.158090452396308
"Area.um.2_Mean","Circularity_Min",0.0289517668119044,0.719763831023261
"Area.um.2_CoV","Circularity_Min",-0.24947230750581,0.00168568211945219
"Length.um_Max","Circularity_Min",-0.134430206692135,0.0943012373897978
"Length.um_Min","Circularity_Min",0.0215944966672699,0.789024787483794
"Length.um_Mean","Circularity_Min",-0.0108517758996908,0.89304475236583
"Length.um_CoV","Circularity_Min",-0.322615110460352,4.00088777920971e-05
"Circularity_Max","Circularity_Min",0.128810379290938,0.109026177888756
"Area.um.2_Max","Circularity_Mean",-0.088776848793286,0.270425856221562
"Area.um.2_Min","Circularity_Mean",0.0226201756098248,0.779255365565803
"Area.um.2_Mean","Circularity_Mean",0.190532787532993,0.017196350317604
"Area.um.2_CoV","Circularity_Mean",-0.372379131039497,1.6937088145319e-06
"Length.um_Max","Circularity_Mean",-0.111507641731599,0.165791219604128
"Length.um_Min","Circularity_Mean",0.0659796747324999,0.413157150885656
"Length.um_Mean","Circularity_Mean",0.111991275623904,0.163951567570709
"Length.um_CoV","Circularity_Mean",-0.395944429517472,3.11697155197521e-07
"Circularity_Max","Circularity_Mean",0.450944415758062,3.47228801267363e-09
"Circularity_Min","Circularity_Mean",0.531688023300856,9.2104102122903e-13
"Area.um.2_Max","Circularity_CoV",0.0940209574686665,0.243022630816153
"Area.um.2_Min","Circularity_CoV",0.0535885742193069,0.506424291079606
"Area.um.2_Mean","Circularity_CoV",-0.0306838836117653,0.703760650489678
"Area.um.2_CoV","Circularity_CoV",0.3349275339413,1.92260469158434e-05
"Length.um_Max","Circularity_CoV",0.133233234815318,0.0972973148272194
"Length.um_Min","Circularity_CoV",0.0110508763888669,0.891094418869311
"Length.um_Mean","Circularity_CoV",0.047446697539157,0.556415242959865
"Length.um_CoV","Circularity_CoV",0.379304894817531,1.04404650391743e-06
"Circularity_Max","Circularity_CoV",-0.325659858213559,3.34750256270056e-05
"Circularity_Min","Circularity_CoV",-0.562460536666276,2.1538326677728e-14
"Circularity_Mean","Circularity_CoV",-0.946481010257464,0
"Area.um.2_Max","Solidity_Min",-0.123883259154743,0.123365774749179
"Area.um.2_Min","Solidity_Min",-0.0157799905184291,0.844986606478917
"Area.um.2_Mean","Solidity_Min",-0.0123328494301484,0.878552684503261
"Area.um.2_CoV","Solidity_Min",-0.249473487088745,0.00168559385037015
