"row","column","cor","p"
"Area.um.2_Max","Area.um.2_Min",-0.0466740344282036,0.562868885590871
"Area.um.2_Max","Area.um.2_Mean",0.0396644136121814,0.622989716869202
"Area.um.2_Min","Area.um.2_Mean",0.630576746608365,0
"Area.um.2_Max","Area.um.2_CoV",0.806144957753532,0
"Area.um.2_Min","Area.um.2_CoV",-0.167062079535339,0.0371151044284557
"Area.um.2_Mean","Area.um.2_CoV",-0.105828782373465,0.188554923069653
"Area.um.2_Max","Length.um_Max",0.839722375707523,0
"Area.um.2_Min","Length.um_Max",-0.0798230492641016,0.321903942669211
"Area.um.2_Mean","Length.um_Max",0.0579927367014785,0.472073677850097
"Area.um.2_CoV","Length.um_Max",0.671275896586377,0
"Area.um.2_Max","Length.um_Min",0.0134898940750067,0.867258907958061
"Area.um.2_Min","Length.um_Min",0.834112156801466,0
"Area.um.2_Mean","Length.um_Min",0.613567946243755,0
"Area.um.2_CoV","Length.um_Min",-0.151333258628888,0.0593183725074398
"Length.um_Max","Length.um_Min",-0.0590399979103917,0.464096749132044
"Area.um.2_Max","Length.um_Mean",0.0209005900190417,0.795652914985641
"Area.um.2_Min","Length.um_Mean",0.665647368399201,0
"Area.um.2_Mean","Length.um_Mean",0.988920671595879,0
"Area.um.2_CoV","Length.um_Mean",-0.140775893207282,0.0796210099795447
"Length.um_Max","Length.um_Mean",0.0437547916234998,0.587569281637489
"Length.um_Min","Length.um_Mean",0.652489064825285,0
"Area.um.2_Max","Length.um_CoV",0.31089997923864,7.80666392550255e-05
"Area.um.2_Min","Length.um_CoV",-0.181142083061705,0.0236342865015291
"Area.um.2_Mean","Length.um_CoV",-0.0024320201239853,0.975962046161466
"Area.um.2_CoV","Length.um_CoV",0.70188254584862,0
"Length.um_Max","Length.um_CoV",0.410061759687557,1.05982361775503e-07
"Length.um_Min","Length.um_CoV",-0.221278187695137,0.00550263593632883
"Length.um_Mean","Length.um_CoV",-0.0382463352447216,0.63547980299906
"Area.um.2_Max","Circularity_Max",0.109814444570062,0.172353017306789
"Area.um.2_Min","Circularity_Max",0.123684250598859,0.123974211081156
"Area.um.2_Mean","Circularity_Max",0.474087987232066,4.06535249908302e-10
"Area.um.2_CoV","Circularity_Max",0.013580444977197,0.866376151683142
"Length.um_Max","Circularity_Max",0.145713817317591,0.0695196304740029
"Length.um_Min","Circularity_Max",0.187926420250249,0.0188090472677342
"Length.um_Mean","Circularity_Max",0.44669462782225,5.06108399633831e-09
"Length.um_CoV","Circularity_Max",0.072483898078435,0.368532264100732
"Area.um.2_Max","Circularity_Min",0.171446050857809,0.0323539748988337
"Area.um.2_Min","Circularity_Min",-0.0369643640295933,0.646860286068515
"Area.um.2_Mean","Circularity_Min",0.0125996520514118,0.875946198065505
"Area.um.2_CoV","Circularity_Min",-0.0284825483388834,0.724120345914018
"Length.um_Max","Circularity_Min",0.025720792524108,0.749937590482761
"Length.um_Min","Circularity_Min",0.098562055981426,0.220906209305676
"Length.um_Mean","Circularity_Min",-0.0230041144407409,0.775607185419175
"Length.um_CoV","Circularity_Min",-0.257475588570307,0.00117495009714519
"Circularity_Max","Circularity_Min",0.123756568345145,0.123752843674633
"Area.um.2_Max","Circularity_Mean",0.0138825216548388,0.863432487282681
"Area.um.2_Min","Circularity_Mean",-0.0086497150458202,0.914655673248612
"Area.um.2_Mean","Circularity_Mean",0.160912296300465,0.0447787848916712
"Area.um.2_CoV","Circularity_Mean",-0.206897226394616,0.00955682880104325
"Length.um_Max","Circularity_Mean",-0.0622906572496121,0.439816284710554
"Length.um_Min","Circularity_Mean",0.057028483669452,0.479483991175039
"Length.um_Mean","Circularity_Mean",0.0754747028074188,0.349049921618941
"Length.um_CoV","Circularity_Mean",-0.390194785816834,4.76878586397333e-07
"Circularity_Max","Circularity_Mean",0.35712713965282,4.728682378774e-06
"Circularity_Min","Circularity_Mean",0.517484926839198,4.60453897233037e-12
"Area.um.2_Max","Circularity_CoV",-0.0253498248253573,0.753427404331449
"Area.um.2_Min","Circularity_CoV",0.0737367438762731,0.360290959596394
"Area.um.2_Mean","Circularity_CoV",-0.024655405326291,0.759973409623936
"Area.um.2_CoV","Circularity_CoV",0.165393298801244,0.0390764876438783
"Length.um_Max","Circularity_CoV",0.0597210969304796,0.458949001342237
"Length.um_Min","Circularity_CoV",-0.0032866123962544,0.96751932380811
"Length.um_Mean","Circularity_CoV",0.058741324030716,0.46636412653964
"Length.um_CoV","Circularity_CoV",0.358903495561722,4.20705020176548e-06
"Circularity_Max","Circularity_CoV",-0.265929767162039,0.000792572923778767
"Circularity_Min","Circularity_CoV",-0.557719954527479,3.95239396766556e-14
"Circularity_Mean","Circularity_CoV",-0.94613056162445,0
"Area.um.2_Max","Solidity_Min",0.0962389835052096,0.232034872411495
"Area.um.2_Min","Solidity_Min",0.0062176659434492,0.938595865441501
"Area.um.2_Mean","Solidity_Min",-0.0524485875122126,0.515523057852647
"Area.um.2_CoV","Solidity_Min",-0.0566488566083766,0.482418586333736
"Length.um_Max","Solidity_Min",-0.0455495236475136,0.572324736054518
"Length.um_Min","Solidity_Min",0.115275426821408,0.151860191069344
"Length.um_Mean","Solidity_Min",-0.060261571160065,0.454886747070646
"Length.um_CoV","Solidity_Min",-0.244882475426147,0.00206283698713761
"Circularity_Max","Solidity_Min",0.0675745312616623,0.401931690966388
"Circularity_Min","Solidity_Min",0.69908327640886,0
"Circularity_Mean","Solidity_Min",0.284877440486196,0.000312774413435246
"Circularity_CoV","Solidity_Min",-0.335240248163733,1.88637374474165e-05
"Area.um.2_Max","Solidity_Mean",0.0220644475208352,0.784544404496633
"Area.um.2_Min","Solidity_Mean",0.0478471711469809,0.553084418541552
"Area.um.2_Mean","Solidity_Mean",0.0818684764854256,0.309619930299629
"Area.um.2_CoV","Solidity_Mean",-0.151283483503129,0.0594030110034232
"Length.um_Max","Solidity_Mean",-0.0642695760126131,0.425395666635095
"Length.um_Min","Solidity_Mean",0.0760716336240498,0.345240451275964
"Length.um_Mean","Solidity_Mean",0.0218392121608222,0.78669086451902
"Length.um_CoV","Solidity_Mean",-0.319409393700332,4.81720596532398e-05
"Circularity_Max","Solidity_Mean",0.214803763560691,0.00708486459386481
"Circularity_Min","Solidity_Mean",0.454923859169556,2.42856978971417e-09
"Circularity_Mean","Solidity_Mean",0.80548108036997,0
"Circularity_CoV","Solidity_Mean",-0.873828899995068,0
"Solidity_Min","Solidity_Mean",0.31792948056139,5.24463917592755e-05
"Area.um.2_Max","Solidity_CoV",-0.0195950429020478,0.80816267611553
"Area.um.2_Min","Solidity_CoV",-0.127207993459772,0.113538901881344
"Area.um.2_Mean","Solidity_CoV",-0.147386875339006,0.0663433181249493
"Area.um.2_CoV","Solidity_CoV",0.149273003183933,0.0629054953477035
"Length.um_Max","Solidity_CoV",0.0626676812590422,0.437047642317824
